FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
0.454,0.8,0.313,22,52,0.436,0.8,0.324,23,54
0.52,0.848,0.472,24,43,0.429,0.688,0.286,20,40
0.5,0.667,0.412,27,34,0.549,0.708,0.357,32,49
0.451,0.889,0.389,22,52,0.454,0.833,0.477,28,48
0.591,0.833,0.379,30,50,0.393,0.68,0.229,20,38
0.444,0.882,0.261,25,47,0.506,0.714,0.552,24,50
0.5,0.839,0.389,32,46,0.385,0.76,0.355,22,35
0.5,0.808,0.5,29,42,0.478,0.826,0.296,23,43
0.47,0.947,0.314,27,47,0.434,0.792,0.226,15,37
0.456,0.87,0.304,27,48,0.5,0.737,0.4,21,37
0.396,0.647,0.333,21,45,0.438,0.941,0.419,24,55
0.528,0.826,0.4,27,42,0.456,0.864,0.289,26,40
0.451,0.8,0.412,22,37,0.5,0.63,0.286,24,45
0.527,0.853,0.405,29,38,0.547,0.789,0.429,30,31
0.469,0.773,0.324,29,39,0.486,0.72,0.417,22,39
0.384,0.792,0.343,23,45,0.515,0.591,0.474,35,47
0.494,0.769,0.387,28,39,0.488,0.667,0.241,23,38
0.539,0.579,0.423,24,55,0.414,0.737,0.281,30,38
0.44,0.865,0.4,25,62,0.387,0.625,0.359,22,40
0.465,0.704,0.314,28,38,0.563,0.767,0.323,30,46
0.447,0.629,0.333,21,47,0.487,0.886,0.303,28,43
0.512,0.813,0.464,24,36,0.468,0.65,0.425,23,41
0.522,0.85,0.515,25,49,0.429,0.85,0.279,25,40
0.506,0.676,0.419,25,46,0.455,0.722,0.35,30,54
0.38,0.611,0.405,26,37,0.442,0.714,0.324,18,59
0.429,0.6,0.282,27,44,0.5,0.8,0.382,16,45
0.374,0.692,0.167,22,42,0.512,0.774,0.324,28,55
0.417,0.9,0.206,15,38,0.511,0.64,0.433,29,51
0.448,0.864,0.259,18,41,0.477,0.905,0.385,31,37
0.578,0.818,0.419,27,45,0.4,0.737,0.313,25,42
0.386,0.833,0.32,22,49,0.432,0.833,0.478,19,42
0.566,0.711,0.429,25,32,0.556,0.789,0.452,33,46
0.419,0.767,0.45,17,41,0.44,0.808,0.304,23,61
0.526,0.658,0.421,24,43,0.478,0.758,0.382,24,40
0.463,0.793,0.372,29,45,0.427,0.758,0.3,24,45
0.553,0.667,0.375,34,52,0.44,0.565,0.261,18,36
0.485,0.591,0.378,31,51,0.495,0.75,0.355,23,54
0.506,0.759,0.361,20,54,0.468,0.45,0.298,22,41
0.546,0.792,0.421,36,39,0.543,0.791,0.31,35,50
0.4,0.722,0.35,19,45,0.47,0.743,0.344,22,44
0.419,0.84,0.231,23,41,0.512,0.833,0.487,30,42
0.439,0.75,0.3,23,37,0.437,0.805,0.276,21,53
0.541,0.818,0.421,22,44,0.477,1,0.436,22,30
